country;Purchasing Power Value;Purchasing Power Category;Safety Value;Safety Category;Health Care Value;Health Care Category;Climate Value;Climate Category;Cost of Living Value;Cost of Living Category;Property Price to Income Value;Property Price to Income Category;Traffic Commute Time Value;Traffic Commute Time Category;Pollution Value;Pollution Category;Quality of Life Value;Quality of Life Category;Continent;Purchasing Power Value nor;Safety Value nor;Health Care Value nor;Climate Value nor;Cost of Living Value nor;Property Price to Income Value nor;Traffic Commute Time Value nor;Pollution Value nor;Etudiant;Salarie;Independant;Touriste;Chomeur
Burkina Faso;69,67;Moderate;61,16;High;49,31;Moderate;83,32;Very High;53,47;Low;1,25;Very Low;50;High;59,93;Moderate;94,61;Very Low;Africa;-0,519335434;0,168408827;-0,244231713;0,656045667;0,404536704;0,996887852;0,030396703;-0,091928468;1,355998372;-0,160224914;1,995938457;1,167459432;1,355998372
Burundi;25,18;Very Low;43,44;Moderate;34,44;Low;67,63;High;32,46;Very Low;20,67;Very High;33;Low;87,84;Very High;85,04;Very Low;Africa;-0,837940418;-0,288940508;-0,609229259;0,33035807;0,756256801;0,91054796;0,380731582;-0,631512808;1,149366576;-0,599121803;1,746381604;0,546893135;1,149366576
Cambodia;26,95;Very Low;48,19;Moderate;50,71;Moderate;59,43;Moderate;34,38;Very Low;26,77;Very High;28;Low;77,77;High;78,92;Very Low;Asia;-0,825264967;-0,166344044;-0,209867452;0,160145304;0,724114841;0,883427809;0,483771252;-0,436829386;1,715102405;0,006409629;1,814629819;0,764857965;1,715102405
Cameroon;10,02;Very Low;34,53;Low;45,53;Moderate;81,15;Very High;37,61;Very Low;46,06;Very High;46;High;93,71;Very High;69,73;Very Low;Africa;-0,946505299;-0,518905665;-0,337015218;0,611001557;0,670042689;0,797665889;0,112828439;-0,744997583;0,724616132;-1,019555056;1,44654099;0,129969436;0,724616132
Canada;111,31;Very High;54,34;Moderate;68,82;High;55,41;Moderate;60,55;Moderate;10,47;Moderate;33,53;Low;29,8;Low;164,54;Very High;North America;-0,221140074;-0,007613886;0,234658812;0,076699533;0,286013225;0,95589641;0,369809377;0,490575157;1,838763938;0,661727454;2,178993702;1,215483406;1,838763938
Cape Verde;18,09;Very Low;49,87;Moderate;67,71;High;69,54;High;38,51;Very Low;17,12;Very High;15,33;Very Low;81,03;Very High;89,9;Very Low;Africa;-0,888713836;-0,122983611;0,207412862;0,370005189;0,654976145;0,926330999;0,744873776;-0,499855002;2,410610172;0,595565337;2,196331107;1,147016497;2,410610172
Cayman Islands;123,25;Very High;69,25;High;62,28;High;71,29;High;108,7;Very High;8,64;Moderate;18,89;Very Low;23,96;Low;193,44;Very High;North America;-0,135634489;0,377209963;0,074128621;0,406331085;-0,520046874;0,964032455;0,671509531;0,603479942;1,566833696;0,467166752;2,125306139;1,538483647;1,566833696
Central African Republic;26,62;Very Low;15,89;Very Low;41,67;Moderate;67,31;High;45,85;Low;8,5;Moderate;5;Very Low;84,83;Very High;87,04;Very Low;Africa;-0,827628187;-1;-0,431762396;0,32371562;0,532100109;0,964654885;0,957753735;-0,573320445;1,022746333;-0,769536738;2,204903904;0,240249019;1,022746333
Chad;20,21;Very Low;32,16;Low;44,21;Moderate;76,44;High;46,23;Low;2,69;Very Low;6;Very Low;60,56;High;87,84;Very Low;Africa;-0,873531939;-0,580074848;-0,369415808;0,513233005;0,525738679;0,990485717;0,937145801;-0,104108265;1,503879542;-0,360138115;2,862494938;1,291934372;1,503879542
Chile;51,47;Low;39,55;Low;63,52;High;90,21;Very High;36,29;Very Low;16,03;Very High;36,04;Moderate;77,51;High;106,49;Low;South America;-0,649670581;-0,38934056;0,104565538;0,799065906;0,692140286;0,931177059;0,318083462;-0,431802803;1,656625785;0,075778144;2,30866391;0,988146291;1,656625785
China;78,42;Moderate;75,82;High;68,53;High;79,61;High;31,23;Very Low;28,6;Very High;38,9;Moderate;77,3;High;120,52;Moderate;Asia;-0,456674305;0,54678023;0,227540501;0,579034769;0,776847744;0,875291764;0,259144771;-0,427742871;2,685605009;1,35363894;2,062576177;1,734064643;2,685605009
Colombia;36,19;Very Low;39,14;Low;68,44;High;96,69;Very High;25,48;Very Low;17,98;Very High;47,15;High;62,47;High;107,9;Low;South America;-0,759094815;-0,399922571;0,22533137;0,933575506;0,873106219;0,922507503;0,089129315;-0,141034316;1,710151835;0,028549518;2,677284226;1,354854153;1,710151835
Comoros;41,96;Low;52,94;Moderate;51,81;Moderate;86,34;Very High;35,91;Very Low;11,15;Moderate;44,1;Very Low;45,92;Very Low;112,62;Low;Africa;-0,717774277;-0,04374758;-0,182866961;0,718733783;0,698501716;0,95287318;0,151983514;0,178927018;1,576743868;-0,093903589;2,70101921;1,70439845;1,576743868
Cook Islands;112,55;Very High;69,08;High;66,5;High;67,57;High;77,32;High;10,46;Very Low;21,77;Very Low;8,62;Very Low;195,35;Very High;Oceania;-0,212260097;0,3728223;0,177712322;0,32911261;0,00527329;0,955940869;0,612158681;0,900048333;2,123907462;0,955706496;2,802533783;2,219415214;2,123907462
Costa Rica;50,9;Low;46,04;Moderate;64,29;High;99,48;Very High;50,18;Low;9,63;Moderate;59,99;Very High;42,39;Moderate;129,35;Moderate;North America;-0,653752506;-0,221835075;0,123465881;0,991489362;0,459613292;0,959630988;-0,175476558;0,247172547;1,145398527;-0,467984967;2,48242963;1,300963567;1,145398527
Croatia;83,85;Moderate;74,54;High;64,66;High;89,23;Very High;43,23;Low;12,45;High;25,79;Very Low;31,1;Low;176,02;Very High;Europe;-0,417788599;0,513743709;0,132547865;0,778723404;0,575960492;0,947093476;0,529314786;0,465442243;2,698660327;1,333778252;3,296534401;2,863184634;2,698660327
Cuba;2,55;Very Low;66,02;High;59,3;Moderate;80,56;Very High;41,1;Low;48;Very High;47,89;High;65,82;High;78,15;Very Low;North America;-1;0,293844367;0,000981836;0,598754541;0,611617979;0,789040791;0,073879444;-0,205799903;1,769364417;-0,019676374;1,867492852;1,372296427;1,769364417
Curacao;43,83;Low;46,19;Moderate;50,35;Moderate;77,92;High;37,17;Very Low;7,82;Very Low;17,5;Very Low;55,46;Moderate;103,73;Low;North America;-0,704382698;-0,217963608;-0,218703976;0,543954333;0,677408554;0,967678115;0,70015456;-0,005509908;1,908573644;0,236512831;2,883685654;1,698043931;1,908573644
Cyprus;84,66;Moderate;66,9;High;57,13;Moderate;90,87;Very High;50,99;Low;8,06;Moderate;23,59;Very Low;54,99;Moderate;158,84;High;Europe;-0,411987969;0,316556975;-0,052282769;0,812765957;0,446053403;0,966611093;0,574652241;0,003576607;2,251590943;0,872991881;2,803659301;2,153605183;2,251590943
Czech Republic;90,3;High;73,64;High;75,47;High;79,1;High;43,65;Low;13,17;High;29,12;Low;34,78;Low;174,21;Very High;Europe;-0,371598396;0,490514905;0,397889053;0,568448365;0,568929438;0,943892409;0,460690366;0,394296762;2,86191617;1,546425366;2,93625734;2,482879836;2,86191617
Denmark;134,75;Very High;73,81;High;78,5;High;82,47;Very High;68,9;Moderate;6,36;Low;27,93;Low;20,75;Low;208,65;Very High;Europe;-0,053279863;0,494902568;0,472263132;0,638401661;0,146229179;0,974169168;0,485213807;0,665538908;2,572777854;1,545328824;2,909552722;2,430286123;2,572777854
Djibouti;165,89;Very High;42,74;Moderate;57,57;Moderate;65,31;High;76,83;High;12,41;High;42,67;High;64,6;High;177,56;Very High;Africa;0,169722143;-0,307007356;-0,041482572;0,282200311;0,013476186;0,947271313;0,181452859;-0,18221363;0,79371043;0,01616126;1,24218704;-0,012091628;0,79371043
Dominica;32,92;Very Low;46,42;Moderate;36,57;Low;78,52;High;50,36;Low;0,64;Very Low;30,2;Very Low;20,69;Low;129,8;Moderate;North America;-0,782512174;-0,212027358;-0,55694649;0,556408926;0,456599983;0,999599867;0,438433797;0,666698888;1,125659799;-0,656452242;3,117741461;1,906114236;1,125659799
