country;Purchasing Power Value;Purchasing Power Category;Safety Value;Safety Category;Health Care Value;Health Care Category;Climate Value;Climate Category;Cost of Living Value;Cost of Living Category;Property Price to Income Value;Property Price to Income Category;Traffic Commute Time Value;Traffic Commute Time Category;Pollution Value;Pollution Category;Quality of Life Value;Quality of Life Category;Continent;Purchasing Power Value nor;Safety Value nor;Health Care Value nor;Climate Value nor;Cost of Living Value nor;Property Price to Income Value nor;Traffic Commute Time Value nor;Pollution Value nor;Etudiant;Salarie;Independant;Touriste;Chomeur
Rwanda;20,5;Very Low;72,81;High;72,87;High;99,74;Very High;37,05;Very Low;446,83;Very High;15,67;Very Low;39,22;Low;0;Very Low;Africa;-0,87145517;0,469092786;0,33406971;0,996886352;0,679417427;-0,984128043;0,737867079;0,308458192;1,23631896;1,348991832;1,738501007;3,191721836;1,23631896
Saint Lucia;39,48;Very Low;39,08;Low;49,9;Moderate;81,46;Very High;39,02;Very Low;0,85;Very Low;7;Very Low;46,22;Moderate;133,2;Moderate;North America;-0,735534231;-0,401471158;-0,229749632;0,61743643;0,646438436;0,998666222;0,916537867;0,173127115;1,930421736;0,196221283;3,35220607;1,95206869;1,930421736
Samoa;81,41;Moderate;57,94;Moderate;55,56;Moderate;76,62;High;43,97;Low;205,03;Very High;27,7;Very Low;39,94;Low;35,61;Very Low;Oceania;-0,435262103;0,085301329;-0,090819833;0,516969382;0,563572445;0,090896966;0,489953632;0,294538424;1,138904539;0,612745471;1,95593085;1,950335213;1,138904539
San Marino;120,98;Very High;80,65;Very High;83,33;Very High;71,36;High;55,15;Low;5,34;Low;10;Very Low;15,36;Very Low;198,82;Very High;Europe;-0,151890576;0,671441476;0,590819833;0,40778412;0,376412488;0,978704012;0,854714065;0,769743838;3,472091875;2,341497287;3,387358524;3,080095988;3,472091875
Saudi Arabia;147,37;Very High;76,23;High;61,71;High;45,98;Moderate;42,06;Low;3,09;Very Low;29,87;Low;62,46;High;173,2;Very High;Asia;0,037095388;0,55736224;0,060137457;-0,119045148;0,595546999;0,988707347;0,445234415;-0,140840986;2,646988459;1,6953765;1,769602628;1,338257521;2,646988459
Senegal;21,72;Very Low;49,82;Moderate;48,38;Moderate;69,42;High;40,61;Low;24,07;Very High;25;Very Low;95,87;Very High;84,61;Very Low;Africa;-0,862718419;-0,1242741;-0,267059401;0,367514271;0,619820876;0,895431811;0,545595054;-0,786756887;1,669514239;-0,08863599;1,641605124;0,621899213;1,669514239
Serbia;58,05;Low;62,75;High;51,96;Moderate;83,23;Very High;36,18;Very Low;16,78;Very High;30,72;Low;65,62;High;123,62;Moderate;Europe;-0,602549413;0,20944638;-0,179185076;0,654177478;0,693981753;0,927842614;0,427717671;-0,201933301;2,079803342;0,549411315;2,501786215;1,783389981;2,079803342
Seychelles;34,19;Very Low;55,01;Moderate;63,19;High;90,89;Very High;59,88;Low;4,66;Very Low;29,33;Low;36,71;Low;139,87;Moderate;Africa;-0,773417359;0,009678668;0,09646539;0,813181111;0,29722943;0,981727242;0,4563627;0,35698405;1,841463431;0,086318829;2,905484533;1,933435959;1,841463431
Sierra Leone;93,28;High;42,9;Moderate;31,25;Low;72,4;High;45,96;Low;3,23;Very Low;41,82;Very Low;106,03;Very High;63,33;Very Low;Africa;-0,350257806;-0,302877791;-0,687530682;0,429372081;0,530258642;0,988084917;0,198969603;-0,98318028;0,72690469;-0,611438033;1,163504963;-0,127457744;0,72690469
Singapore;108,8;High;72,48;High;71,9;High;57,45;Moderate;79,72;High;20,4;Very High;40,87;Moderate;32,61;Low;157,13;High;Asia;-0,239114867;0,460575558;0,310260187;0,119045148;-0,03490416;0,911748361;0,218547141;0,436249396;1,866227086;0,715363858;1,650685885;1,199513082;1,866227086
Sint Maarten;46,37;Low;68,09;High;56,48;Moderate;80,3;Very High;65,56;Moderate;6,92;Low;44,55;Very Low;79,48;High;113,38;Low;North America;-0,686193068;0,347270616;-0,068237604;0,593357551;0,202142797;0,971679449;0,142709943;-0,469888835;1,595565201;-0,062307316;1,440000905;0,815592072;1,595565201
Slovakia;75,25;Moderate;69,2;High;58,6;Moderate;80,72;Very High;43,24;Low;14,2;High;27,41;Low;37,3;Low;157,96;High;Europe;-0,479375537;0,375919473;-0,016200295;0,602075765;0,575793086;0,939313104;0,495929933;0,345577574;2,370755302;0,952066661;2,958689463;2,395295832;2,370755302
Slovenia;85,89;High;76,17;High;66,26;High;76,11;High;47,58;Low;13,09;High;25,39;Very Low;22,25;Low;178,94;Very High;Europe;-0,403179605;0,555813653;0,171821306;0,506382979;0,503138863;0,944248083;0,53755796;0,636539391;2,712579865;1,365152178;3,127867276;2,739432846;2,712579865
Solomon Islands;10,77;Very Low;36,13;Low;45,14;Moderate;84,18;Very High;101,05;Very High;1;Very High;36,67;Moderate;79,55;High;71,14;Very Low;Oceania;-0,941134345;-0,477610014;-0,34658812;0,67389725;-0,391981251;0,997999333;0,305100464;-0,471242146;0,086920412;-1,852213266;1,11377365;-0,361835697;0,086920412
Somalia;28,41;Very Low;35,86;Low;40,49;Moderate;84,75;Very High;40,56;Low;360,1;Very High;29;Low;63,41;High;20,58;Very Low;Africa;-0,81480951;-0,484578655;-0,460726559;0,685729113;0,620657906;-0,598532844;0,463163318;-0,159207347;-0,460016835;-0,676293501;1,011810145;1,125764334;-0,460016835
South Africa;123,08;Very High;25,36;Low;63,83;High;95,25;Very High;31,3;Very Low;3,21;Very Low;38,61;Moderate;56,56;Moderate;155,84;High;Africa;-0,136851905;-0,755581365;0,112174767;0,903684484;0,775675902;0,988173836;0,265121072;-0,02677622;1,385564211;0,26053847;2,905879072;1,162123871;1,385564211
South Korea;107,47;High;75,36;High;82,78;Very High;68,39;High;59,94;Low;21,06;Very High;40,32;Moderate;60,93;High;148,74;High;Asia;-0,248639358;0,53490773;0,577319588;0,346133887;0,296224994;0,908814049;0,229881504;-0,111261479;2,547147865;1,389694457;1,669792955;1,295886636;2,547147865
South Sudan;24,21;Very Low;18,57;Very Low;23,61;Low;80,86;Very High;58,78;Low;2,08;Very Low;25,54;Very Low;56,47;Moderate;103,78;Low;Africa;-0,844886852;-0,930829784;-0,875061365;0,604981837;0,315644095;0,993197733;0,53446677;-0,025036249;0,037417448;-1,800667137;2,423254185;0,499226668;0,037417448
Spain;101,41;High;63,51;High;77,26;High;94,04;Very High;44,41;Low;8,28;Moderate;26,76;Very Low;35,7;Low;184,67;Very High;Europe;-0,292036666;0,229061814;0,441826215;0,878567722;0,556206579;0,965632989;0,50932509;0,376510391;2,702052687;1,444383033;3,286242771;2,549671597;2,702052687
Sri Lanka;17,98;Very Low;57,9;Moderate;71,36;High;59,11;Moderate;33,96;Very Low;39,94;Very High;54,52;High;57,94;Moderate;75,17;Very Low;Asia;-0,889501575;0,084268938;0,2970054;0,153502854;0,731145894;0,824874958;-0,062751159;-0,053455776;1,874544032;0,160167498;1,593316772;0,852710752;1,874544032
Sudan;40,12;Low;54,5;Moderate;46,78;Moderate;84,31;Very High;30,83;Very Low;24,64;Very High;38,33;Moderate;67,55;High;104,6;Low;Africa;-0,730951017;-0,003484321;-0,306332842;0,676595745;0,783543986;0,892897633;0,270891293;-0,239246013;1,637515749;0,013667099;2,384682644;1,488300691;1,637515749
Suriname;19,73;Very Low;47,12;Moderate;42,62;Moderate;85,8;Very High;39,75;Very Low;3,18;Very Low;28,88;Low;51,15;Moderate;103,55;Low;South America;-0,87696935;-0,193960511;-0,40844379;0,70752465;0,634217795;0,988307214;0,46563627;0,07781537;1,485756978;-0,379519585;2,873501298;1,691233574;1,485756978
Sweden;134,51;Very High;51,74;Moderate;68,43;High;76,49;High;54,84;Low;7,45;Low;28,72;Low;17,66;Very Low;193,48;Very High;Europe;-0,054998568;-0,074719319;0,225085911;0,514270887;0,381602076;0,969323108;0,468933539;0,725277912;1,970225315;0,94590364;3,059407522;2,015365096;1,970225315
Switzerland;165,31;Very High;73,69;High;71,5;High;79,24;High;101,18;Very High;10,94;Moderate;33,28;Low;23,06;Low;204,91;Very High;Europe;0,165568605;0,491805394;0,300441826;0,571354437;-0,394157529;0,953806824;0,37496136;0,620879652;1,726857876;0,938619656;2,126844744;1,664843314;1,726857876
Syria;5,22;Very Low;31,5;Low;37,11;Low;76,62;High;23,8;Very Low;118,65;Very High;34,9;Low;74,88;High;35,61;Very Low;Asia;-0,980879404;-0,597109304;-0,543691703;0,516969382;0,901230434;0,47493609;0,341576507;-0,380956984;0,576942023;-0,878873471;1,85375543;0,781710035;0,576942023
Taiwan;101,65;High;82,89;Very High;86,5;Very High;84,38;Very High;44,79;Low;20,89;Very High;32,81;Low;64,31;High;160,18;Very High;Asia;-0,29031796;0,729255388;0,668630339;0,67804878;0,549845149;0,909569857;0,384647089;-0,176607057;3,241947822;2,042060005;2,345503819;2,16518935;3,241947822
Tajikistan;23,92;Very Low;55,6;Moderate;61,9;High;76,37;High;24,6;Very Low;16,11;Very High;27;Low;54,02;Moderate;103,34;Low;Asia;-0,846963621;0,02490644;0,064801178;0,511779969;0,887837951;0,930821385;0,504379186;0,022329628;2,41274614;0,634961134;2,857148119;1,951233173;2,41274614
Tanzania;23,52;Very Low;46,46;Moderate;42,14;Moderate;71,28;High;25,31;Very Low;134,04;Very High;27,79;Low;62,48;High;0;Very Low;Africa;-0,849828129;-0,210994967;-0,420225822;0,406123508;0,875952122;0,406513282;0,488098918;-0,141227646;1,139343533;-0,116997879;2,035460184;1,417951935;1,139343533
Thailand;46,07;Low;62,49;High;77,36;High;69,76;High;33,88;Very Low;25,31;Very High;38,71;Moderate;75,65;High;105,37;Low;Asia;-0,688341449;0,202735837;0,444280805;0,374571873;0,732485143;0,889918862;0,263060278;-0,395843403;2,532480925;0,954220613;1,864192754;1,177009729;2,532480925
Timor-Leste;259,09;Very High;57,93;Moderate;52,69;Moderate;57,05;Moderate;45,57;Low;4,13;Very Low;25;Very Low;60,35;High;195,83;Very High;Asia;0,837152678;0,085043231;-0,161266568;0,110742086;0,536787478;0,984083583;0,545595054;-0,100048333;1,990242778;1,843311873;2,077159869;1,178119517;1,990242778
Togo;50,92;Low;54,84;Moderate;54,17;Moderate;68,21;High;31,91;Very Low;7,42;Low;7;Very Low;82,5;Very High;115,14;Low;Africa;-0,653609281;0,005291005;-0,124938635;0,342397509;0,765464133;0,969456485;0,916537867;-0,528274529;2,531810856;0,908745089;2,465581466;1,501415986;2,531810856
Tonga;73,17;Moderate;39,02;Low;62,27;High;92,64;Very High;50,8;Low;2,44;Very Low;43,34;Very Low;54,04;Moderate;123,1;Moderate;Oceania;-0,494270983;-0,403019744;0,073883162;0,849507006;0,449234117;0,991597199;0,167645544;0,021942968;1,279340277;-0,206527905;2,479926833;1,08530989;1,279340277
Tunisia;33,55;Very Low;55,23;Moderate;57,17;Moderate;93,24;Very High;25,71;Very Low;13,06;High;34,39;Low;70,08;High;115,44;Low;Africa;-0,778000573;0,01535682;-0,051300933;0,861961598;0,86925588;0,94438146;0,352086553;-0,288158531;2,129779781;0,407397748;2,739526962;1,810502321;2,129779781
Turkey;52,08;Low;58,74;Moderate;71,22;High;93,26;Very High;35,37;Very Low;11,05;Moderate;43,81;High;64,29;High;130,42;Moderate;Asia;-0,645302206;0,105949155;0,293568974;0,862376751;0,707541642;0,953317773;0,157959815;-0,176220396;2,218337358;0,61971738;2,504975584;1,657606967;2,218337358
Turkmenistan;51,23;Low;51,24;Moderate;49,83;Moderate;84,49;Very High;32,52;Very Low;25,99;Very High;17,29;Very Low;38,15;Low;140,75;Moderate;Asia;-0,651389287;-0,08762421;-0,231467845;0,680332122;0,755252365;0,886895632;0,704482226;0,329144514;2,027538168;0,489253249;3,356106859;2,381587017;2,027538168
Tuvalu;127,06;Very High;81,52;Very High;100;Very High;79,68;High;57,74;Low;0,55;Very Low;17,02;Very Low;49,51;Very Low;193,61;Very High;Oceania;-0,108350043;0,693895987;1;0,580487805;0,333054323;1;0,710046368;0,109521508;3,736996678;2,628646635;2,733110004;2,427005991;3,736996678
Uganda;10,33;Very Low;45,88;Moderate;50,05;Moderate;98,41;Very High;47,97;Low;1;Very High;44,5;High;84,05;Very High;0;Very Low;Africa;-0,944285305;-0,225964641;-0,226067747;0,969278672;0,496610028;0,997999333;0,14374034;-0,558240696;1,186317313;-0,755967325;2,049387676;0,825423703;1,186317313
Ukraine;47,67;Low;53,13;Moderate;55,74;Moderate;70,69;High;24,38;Very Low;13,88;High;37,92;Moderate;62,16;High;114,78;Low;Europe;-0,676883414;-0,038843722;-0,086401571;0,393876492;0,891520884;0,940735801;0,279340546;-0,135041083;1,986351938;0,368732723;2,37043264;1,390853118;1,986351938
United Arab Emirates;132,31;Very High;84,43;Very High;70,63;High;45,84;Moderate;53,8;Low;6,77;Low;35,77;Moderate;47,98;Moderate;176,65;Very High;Asia;-0,070753366;0,769002452;0,279086892;-0,12195122;0,399012304;0,972346338;0,323647604;0,139101015;2,743095591;1,699995887;1,712156042;1,508812156;2,743095591
United Kingdom;125,05;Very High;51,88;Moderate;72,92;High;87,41;Very High;59,67;Low;8,75;Moderate;34,74;Low;40,47;Moderate;175,2;Very High;Europe;-0,122744199;-0,071105949;0,335297005;0,740944473;0,300744957;0,963543403;0,344873776;0,284291928;1,873353193;0,78706559;2,634398538;1,599749186;1,873353193
United States;153,02;Very High;50,74;Moderate;67,86;High;79,14;High;65,69;Moderate;3,54;Very Low;32,91;Low;36,61;Low;189,14;Very High;North America;0,077556574;-0,100529101;0,211094747;0,569278672;0,199966519;0,98670668;0,382586296;0,358917351;1,679825141;0,770675035;2,497455517;1,410219737;1,679825141
Uruguay;57,92;Low;48,2;Moderate;68,57;High;98,04;Very High;47,39;Low;12,28;High;39,52;Moderate;43,49;Moderate;141,6;Moderate;South America;-0,603480378;-0,166085947;0,228522337;0,961598339;0,506319578;0,947849283;0,246367852;0,225906235;1,762973103;0,211643442;2,888041287;1,774106057;1,762973103
Uzbekistan;44,66;Low;71,97;High;61,82;High;69,79;High;24,4;Very Low;13,08;High;34,3;Low;53,07;Moderate;133,78;Moderate;Asia;-0,698438843;0,447412569;0,062837506;0,375194603;0,891186072;0,944292542;0,353941267;0,040695988;2,699669957;1,056938572;2,605310473;2,1084305;2,699669957
Vanuatu;55,51;Low;58,35;Moderate;40,51;Moderate;78,67;High;40,39;Low;29,88;Very High;15;Very Low;40,14;Moderate;142,11;Moderate;Oceania;-0,620739043;0,09588334;-0,460235641;0,559522574;0,623503808;0,869600978;0,751674395;0,290671822;1,88042688;0,390086859;3,094973577;2,321255939;1,88042688
Vatican City;112,64;Very High;46,18;Moderate;100;Very High;89,03;Very High;57,86;Low;9,94;Very Low;37;Very Low;46,32;Moderate;152,28;High;Europe;-0,211615583;-0,218221706;1;0,774571873;0,331045451;0,958252751;0,298299845;0,171193813;2,369376341;1,199508007;2,533363734;1,356889277;2,369376341
Venezuela;15,11;Very Low;19,26;Very Low;38,69;Low;76,44;High;35,85;Very Low;17,49;Very High;32,8;Low;75,3;High;87,84;Very Low;South America;-0,910054426;-0,913021035;-0,50490918;0,513233005;0,699506152;0,924686006;0,384853168;-0,389076849;0,591115112;-1,24362532;2,133201483;0,295494442;0,591115112
Vietnam;44,49;Low;59;Moderate;61,32;High;71,24;High;26,85;Very Low;24,77;Very High;29,62;Low;84,19;Very High;97,18;Very Low;Asia;-0,699656259;0,112659698;0,050564556;0,405293202;0,850171591;0,892319662;0,450386399;-0,560947318;2,356101906;0,764125985;2,037223536;1,257563572;2,356101906
Western Sahara;54,49;Low;62,87;High;47,01;Moderate;74,08;High;34,87;Very Low;12,75;High;28,86;Very Low;71,54;High;133,72;Moderate;Africa;-0,628043541;0,212543554;-0,300687285;0,46424494;0,715911944;0,945759698;0,466048429;-0,316384727;2,03957634;0,465773101;2,275580284;1,54236414;2,03957634
Yemen;20,74;Very Low;34,07;Low;25,31;Low;68,95;High;48,66;Low;15,98;High;15;Very Low;83,17;Very High;65,74;Very Low;Asia;-0,869736465;-0,530778165;-0,833333333;0,357758173;0,485059011;0,931399355;0,751674395;-0,541227646;0,804021262;-0,997114558;1,984663288;0,522485767;0,804021262
Zambia;22,32;Very Low;54,39;Moderate;54,44;Moderate;75,01;High;36,74;Very Low;72,42;Very High;38,86;Moderate;80,9;Very High;61,88;Very Low;Africa;-0,858421656;-0,006323397;-0,118311242;0,483549559;0,684607014;0,680471268;0,259969088;-0,497341711;1,500412732;-0,038480192;1,611255219;0,924460554;1,500412732
Zimbabwe;28,76;Very Low;39,31;Low;44,8;Moderate;96,76;Very High;35,36;Very Low;17,35;Very High;27,79;Low;78,53;High;94,2;Very Low;Africa;-0,812303065;-0,395534908;-0,354933726;0,935028542;0,707709048;0,925308436;0,488098918;-0,451522475;1,370647769;-0,366963732;2,60462247;1,283779126;1,370647769
